"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WESD","WESF","WSFG"
"CA001107010","SANDHEADS CS, BC CA","2021-01-01",,,,,,"48","52","44","   18",,,"109.6"
"CA001107010","SANDHEADS CS, BC CA","2021-01-02",,,,,,"48","49","46","   16",,,"170.0"
"CA001107010","SANDHEADS CS, BC CA","2021-01-03",,,,,,"45","47","43","   17",,,"134.2"
"CA001107010","SANDHEADS CS, BC CA","2021-01-04",,,,,,"45","46","43","    9",,,"125.3"
"CA001107010","SANDHEADS CS, BC CA","2021-01-05",,,,,,"45","48","42","   15",,,"176.7"
"CA001107010","SANDHEADS CS, BC CA","2021-01-06",,,,,,"46","47","44","   16",,,"140.9"
"CA001107010","SANDHEADS CS, BC CA","2021-01-07",,,,,,"43","47","40","   10",,,"82.8"
"CA001107010","SANDHEADS CS, BC CA","2021-01-08",,,,,,"44","47","41","   14",,,"107.4"
"CA001107010","SANDHEADS CS, BC CA","2021-01-09",,,,,,"40","46","35","    8",,,"82.8"
"CA001107010","SANDHEADS CS, BC CA","2021-01-10",,,,,,"44","47","42","   10",,,"98.4"
"CA001107010","SANDHEADS CS, BC CA","2021-01-11",,,,,,"47","50","45","    9",,,"105.1"
"CA001107010","SANDHEADS CS, BC CA","2021-01-12",,,,,,"48","51","44","    9",,,"118.6"
"CA001107010","SANDHEADS CS, BC CA","2021-01-13",,,,,,"48","54","41","   19",,,"163.3"
"CA001107010","SANDHEADS CS, BC CA","2021-01-14",,,,,,"43","46","39","    9",,,"71.6"
"CA001107010","SANDHEADS CS, BC CA","2021-01-15",,,,,,"47","50","43","    9",,,"94.0"
"CA001107010","SANDHEADS CS, BC CA","2021-01-16",,,,,,"43","45","41",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-01-17",,,,,,"45","47","42","   29",,,"76.1"
"CA001107010","SANDHEADS CS, BC CA","2021-01-18",,,,,,"44","45","42",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-01-19",,,,,,"41","44","39",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-01-20",,,,,,"43","44","42",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-01-21",,,,,,"43","44","42","   31",,,"85.0"
"CA001107010","SANDHEADS CS, BC CA","2021-01-22",,,,,,"40","44","37","   31",,,"80.5"
"CA001107010","SANDHEADS CS, BC CA","2021-01-23",,,,,,"38","41","35",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-01-24",,,,,,"36","39","34","    9",,,"87.2"
"CA001107010","SANDHEADS CS, BC CA","2021-01-25",,,,,,"39","43","36","   18",,,"96.2"
"CA001107010","SANDHEADS CS, BC CA","2021-01-26",,,,,,"40","44","37","   11",,,"114.1"
"CA001107010","SANDHEADS CS, BC CA","2021-01-27",,,,,,"38","41","35","   11",,,"114.1"
"CA001107010","SANDHEADS CS, BC CA","2021-01-28",,,,,,"40","43","38",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-01-29",,,,,,"41","44","39",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-01-30",,,,,,"43","46","40","   13",,,"102.9"
"CA001107010","SANDHEADS CS, BC CA","2021-01-31",,,,,,"44","46","42","   11",,,"98.4"
"CA001107010","SANDHEADS CS, BC CA","2021-02-01",,,,,,"43","45","41","   10",,,"78.3"
"CA001107010","SANDHEADS CS, BC CA","2021-02-02",,,,,,"43","46","40","   18",,,"87.2"
"CA001107010","SANDHEADS CS, BC CA","2021-02-03",,,,,,"42","45","40","   32",,,"94.0"
"CA001107010","SANDHEADS CS, BC CA","2021-02-04",,,,,,"41","43","40","   15",,,"87.2"
"CA001107010","SANDHEADS CS, BC CA","2021-02-05",,,,,,"44","47","41","   29",,,"145.4"
"CA001107010","SANDHEADS CS, BC CA","2021-02-06",,,,,,"44","46","42","   29",,,"149.9"
"CA001107010","SANDHEADS CS, BC CA","2021-02-07",,,,,,"43","45","42","   29",,,"167.8"
"CA001107010","SANDHEADS CS, BC CA","2021-02-08",,,,,,"36","42","31","   30",,,"118.6"
"CA001107010","SANDHEADS CS, BC CA","2021-02-09",,,,,,"35","40","29","   10",,,"73.8"
"CA001107010","SANDHEADS CS, BC CA","2021-02-10",,,,,,"30","32","28","   10",,,"105.1"
"CA001107010","SANDHEADS CS, BC CA","2021-02-11",,,,,,"30","33","27","   10",,,"94.0"
"CA001107010","SANDHEADS CS, BC CA","2021-02-12",,,,,,"28","33","24","   12",,,"98.4"
"CA001107010","SANDHEADS CS, BC CA","2021-02-13",,,,,,"30","32","28","   13",,,"120.8"
"CA001107010","SANDHEADS CS, BC CA","2021-02-14",,,,,,"33","35","31",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-02-15",,,,,,"37","41","34","   31",,,"87.2"
"CA001107010","SANDHEADS CS, BC CA","2021-02-16",,,,,,"42","46","38","   30",,,"125.3"
"CA001107010","SANDHEADS CS, BC CA","2021-02-17",,,,,,"41","44","38","   31",,,"161.1"
"CA001107010","SANDHEADS CS, BC CA","2021-02-18",,,,,,"39","42","37","   11",,,"100.7"
"CA001107010","SANDHEADS CS, BC CA","2021-02-19",,,,,,"41","45","37","   18",,,"89.5"
"CA001107010","SANDHEADS CS, BC CA","2021-02-20",,,,,,"42","45","38","   16",,,"94.0"
"CA001107010","SANDHEADS CS, BC CA","2021-02-21",,,,,,"47","52","42","   17",,,"107.4"
"CA001107010","SANDHEADS CS, BC CA","2021-02-22",,,,,,"48","52","43","   31",,,"129.7"
"CA001107010","SANDHEADS CS, BC CA","2021-02-23",,,,,,"40","45","36","   31",,,"147.6"
"CA001107010","SANDHEADS CS, BC CA","2021-02-24",,,,,,"38","42","35","   31",,,"123.0"
"CA001107010","SANDHEADS CS, BC CA","2021-02-25",,,,,,"43","47","39","   15",,,"118.6"
"CA001107010","SANDHEADS CS, BC CA","2021-02-26",,,,,,"42","46","38","   31",,,"172.2"
"CA001107010","SANDHEADS CS, BC CA","2021-02-27",,,,,,"40","45","36","   31",,,"152.1"
"CA001107010","SANDHEADS CS, BC CA","2021-02-28",,,,,,"41","44","38","    9",,,"69.3"
"CA001107010","SANDHEADS CS, BC CA","2021-03-01",,,,,,"46","49","43","   29",,,"82.8"
"CA001107010","SANDHEADS CS, BC CA","2021-03-02",,,,,,"43","45","40","   30",,,"76.1"
"CA001107010","SANDHEADS CS, BC CA","2021-03-03",,,,,,"44","47","40",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-03-04",,,,,,"45","50","41","   16",,,"118.6"
"CA001107010","SANDHEADS CS, BC CA","2021-03-05",,,,,,"49","52","45","   15",,,"170.0"
"CA001107010","SANDHEADS CS, BC CA","2021-03-06",,,,,,"45","48","43","   16",,,"105.1"
"CA001107010","SANDHEADS CS, BC CA","2021-03-07",,,,,,"45","47","43","   15",,,"154.3"
"CA001107010","SANDHEADS CS, BC CA","2021-03-08",,,,,,"43","47","39","   12",,,"85.0"
"CA001107010","SANDHEADS CS, BC CA","2021-03-09",,,,,,"46","50","42","   30",,,"69.3"
"CA001107010","SANDHEADS CS, BC CA","2021-03-10",,,,,,"43","45","41",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-03-11",,,,,,"45","51","40","   36",,,"80.5"
"CA001107010","SANDHEADS CS, BC CA","2021-03-12",,,,,,"46","52","40",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-03-13",,,,,,"47","52","42",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-03-14",,,,,,"45","50","40","   29",,,"123.0"
"CA001107010","SANDHEADS CS, BC CA","2021-03-15",,,,,,"40","45","36","   30",,,"116.3"
"CA001107010","SANDHEADS CS, BC CA","2021-03-16",,,,,,"44","49","38",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-03-17",,,,,,"44","49","40",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-03-18",,,,,,"48","53","43","   16",,,"111.8"
"CA001107010","SANDHEADS CS, BC CA","2021-03-19",,,,,,"48","50","46","   14",,,"116.3"
"CA001107010","SANDHEADS CS, BC CA","2021-03-20",,,,,,"45","48","43","   15",,,"102.9"
"CA001107010","SANDHEADS CS, BC CA","2021-03-21",,,,,,"43","45","41","   16",,,"118.6"
"CA001107010","SANDHEADS CS, BC CA","2021-03-22",,,,,,"45","48","43","   16",,,"125.3"
"CA001107010","SANDHEADS CS, BC CA","2021-03-23",,,,,,"46","50","42",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-03-24",,,,,,"45","48","41","   18",,,"118.6"
"CA001107010","SANDHEADS CS, BC CA","2021-03-25",,,,,,"47","51","44","   30",,,"109.6"
"CA001107010","SANDHEADS CS, BC CA","2021-03-26",,,,,,"48","51","45","   30",,,"76.1"
"CA001107010","SANDHEADS CS, BC CA","2021-03-27",,,,,,"46","48","43","   16",,,"78.3"
"CA001107010","SANDHEADS CS, BC CA","2021-03-28",,,,,,"43","48","38","   30",,,"214.7"
"CA001107010","SANDHEADS CS, BC CA","2021-03-29",,,,,,"45","47","42","   30",,,"167.8"
"CA001107010","SANDHEADS CS, BC CA","2021-03-30",,,,,,"44","47","40","   29",,,"114.1"
"CA001107010","SANDHEADS CS, BC CA","2021-03-31",,,,,,"44","47","40",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-01",,,,,,"48","52","44","   15",,,"71.6"
"CA001107010","SANDHEADS CS, BC CA","2021-04-02",,,,,,"47","50","44",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-03",,,,,,"49","53","44","   24",,,"91.7"
"CA001107010","SANDHEADS CS, BC CA","2021-04-04",,,,,,"46","50","43","   29",,,"136.5"
"CA001107010","SANDHEADS CS, BC CA","2021-04-05",,,,,,"46","50","42","   30",,,"123.0"
"CA001107010","SANDHEADS CS, BC CA","2021-04-06",,,,,,"46","50","41",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-07",,,,,,"47","49","45","   17",,,"109.6"
"CA001107010","SANDHEADS CS, BC CA","2021-04-08",,,,,,"47","51","42","   29",,,"145.4"
"CA001107010","SANDHEADS CS, BC CA","2021-04-09",,,,,,"45","47","43","   16",,,"118.6"
"CA001107010","SANDHEADS CS, BC CA","2021-04-10",,,,,,"42","47","37","   32",,,"132.0"
"CA001107010","SANDHEADS CS, BC CA","2021-04-11",,,,,,"43","47","40","   30",,,"82.8"
"CA001107010","SANDHEADS CS, BC CA","2021-04-12",,,,,,"48","53","43","   31",,,"94.0"
"CA001107010","SANDHEADS CS, BC CA","2021-04-13",,,,,,"50","54","47","   30",,,"89.5"
"CA001107010","SANDHEADS CS, BC CA","2021-04-14",,,,,,"54","60","48","   31",,,"91.7"
"CA001107010","SANDHEADS CS, BC CA","2021-04-15",,,,,,"55","60","49","   32",,,"71.6"
"CA001107010","SANDHEADS CS, BC CA","2021-04-16",,,,,,"55","60","49",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-17",,,,,,"56","62","51",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-18",,,,,,"57","63","50",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-19",,,,,,"59","65","53",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-20",,,,,,"55","59","51",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-21",,,,,,"56","60","51","   29",,,"136.5"
"CA001107010","SANDHEADS CS, BC CA","2021-04-22",,,,,,"54","59","50","   28",,,"134.2"
"CA001107010","SANDHEADS CS, BC CA","2021-04-23",,,,,,"51","53","49","   13",,,"73.8"
"CA001107010","SANDHEADS CS, BC CA","2021-04-24",,,,,,"50","52","47",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-25",,,,,,"50","52","47","   14",,,"76.1"
"CA001107010","SANDHEADS CS, BC CA","2021-04-26",,,,,,"53","59","47",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-27",,,,,,"51","54","47",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-28",,,,,,"53","57","50",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-29",,,,,,"56","62","49",,,,
"CA001107010","SANDHEADS CS, BC CA","2021-04-30",,,,,,"55","60","50","   15",,,"85.0"
"CA001107010","SANDHEADS CS, BC CA","2021-05-01",,,,,,"53","56","49","   29",,,"73.8"
"CA001107010","SANDHEADS CS, BC CA","2021-05-02",,,,,,"53","59","47","   31",,,"71.6"
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-01",,,"0.68",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-02",,,"0.48",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-03",,,"0.63",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-04",,,"0.62",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-05",,,"0.36",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-06",,,"1.72",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-07",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-08",,,"0.33",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-09",,,"0.12",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-10",,,"0.23",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-11",,,"0.26",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-12",,,"1.02",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-13",,,"0.70",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-14",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-15",,,"0.17",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-16",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-17",,,"0.19",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-18",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-19",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-20",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-21",,,"0.02",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-22",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-23",,,"0.00",,,,,,,,,
